"subject","activity_class","activity_label","mean","standard_deviation"
1,1,"WALKING",-0.319105810200331,0.452722654264638
1,2,"WALKING_UPSTAIRS",-0.40699661814598,0.484862873610122
1,3,"WALKING_DOWNSTAIRS",-0.297226292824001,0.455514566936833
1,4,"SITTING",-0.633405230612481,0.546477904027143
1,5,"STANDING",-0.647424789141436,0.542181337789553
1,6,"LAYING",-0.607522391836014,0.542294404739403
2,1,"WALKING",-0.385708093716054,0.471751410540144
2,2,"WALKING_UPSTAIRS",-0.363983305102955,0.466703992931453
2,3,"WALKING_DOWNSTAIRS",-0.259677293061387,0.465729490758389
2,4,"SITTING",-0.640597914078914,0.536914141147994
2,5,"STANDING",-0.636454993012462,0.536059426538189
2,6,"LAYING",-0.639973837827844,0.543318302012276
3,1,"WALKING",-0.386865862874514,0.47042947054323
3,2,"WALKING_UPSTAIRS",-0.424274671811149,0.483280166456723
3,3,"WALKING_DOWNSTAIRS",-0.350536138554404,0.471565414517055
3,4,"SITTING",-0.622780836987975,0.535481364875035
3,5,"STANDING",-0.626824657789309,0.523981202663951
3,6,"LAYING",-0.641445804875381,0.53124691328834
4,1,"WALKING",-0.43055661483918,0.485536384535955
4,2,"WALKING_UPSTAIRS",-0.415260374462441,0.482342658990012
4,3,"WALKING_DOWNSTAIRS",-0.363790441016887,0.485503779291866
4,4,"SITTING",-0.627074988752137,0.530636923654938
4,5,"STANDING",-0.618583772157932,0.530351097607765
4,6,"LAYING",-0.630875080725603,0.538918856382756
5,1,"WALKING",-0.378535121986988,0.471349048704243
5,2,"WALKING_UPSTAIRS",-0.356353464901252,0.471016513212762
5,3,"WALKING_DOWNSTAIRS",-0.296901580091929,0.479605858322798
5,4,"SITTING",-0.627014833570021,0.531734627480468
5,5,"STANDING",-0.618821537531601,0.526482578726867
5,6,"LAYING",-0.631793505517319,0.544391929156741
6,1,"WALKING",-0.337513362522582,0.462995436937977
6,2,"WALKING_UPSTAIRS",-0.330642340129316,0.464916100757488
6,3,"WALKING_DOWNSTAIRS",-0.198922424840441,0.478007541818861
6,4,"SITTING",-0.625412957710496,0.528560255624084
6,5,"STANDING",-0.629253160586122,0.524918864445532
6,6,"LAYING",-0.619421431071453,0.533051183737078
7,1,"WALKING",-0.306764482858546,0.458658161670587
7,2,"WALKING_UPSTAIRS",-0.427408293255387,0.478967138009984
7,3,"WALKING_DOWNSTAIRS",-0.317129508211319,0.473530402086289
7,4,"SITTING",-0.628833138374792,0.536419278331034
7,5,"STANDING",-0.63369010626409,0.528953245701607
7,6,"LAYING",-0.628303269447471,0.542283798100629
8,1,"WALKING",-0.299755499867352,0.46042789591661
8,2,"WALKING_UPSTAIRS",-0.293377815632218,0.464582765249912
8,3,"WALKING_DOWNSTAIRS",-0.19351985419359,0.458724749672543
8,4,"SITTING",-0.637726458982249,0.537875923565333
8,5,"STANDING",-0.639463722621354,0.537725697835807
8,6,"LAYING",-0.627089533537997,0.54552114969283
9,1,"WALKING",-0.37164660578822,0.467267674726799
9,2,"WALKING_UPSTAIRS",-0.427075431896002,0.480856175330876
9,3,"WALKING_DOWNSTAIRS",-0.313140747277053,0.475828264325837
9,4,"SITTING",-0.627530823653232,0.524475751851574
9,5,"STANDING",-0.633713631013694,0.526030674232032
9,6,"LAYING",-0.628414047268328,0.530063039309266
10,1,"WALKING",-0.327086776127028,0.459226854544395
10,2,"WALKING_UPSTAIRS",-0.345652600356602,0.463053071179259
10,3,"WALKING_DOWNSTAIRS",-0.263162073365728,0.463337371199746
10,4,"SITTING",-0.640078551091241,0.542251226544214
10,5,"STANDING",-0.630886542166037,0.526755493498941
10,6,"LAYING",-0.633606314208568,0.538143814511992
11,1,"WALKING",-0.431366510871248,0.4778994116884
11,2,"WALKING_UPSTAIRS",-0.43527506672087,0.494681275282595
11,3,"WALKING_DOWNSTAIRS",-0.348717448293558,0.477173185821431
11,4,"SITTING",-0.636081608692102,0.53609946156127
11,5,"STANDING",-0.648374467923916,0.536202658765753
11,6,"LAYING",-0.643553031373099,0.539562164233576
12,1,"WALKING",-0.355560155447154,0.465934707083466
12,2,"WALKING_UPSTAIRS",-0.42179157558609,0.4801841508273
12,3,"WALKING_DOWNSTAIRS",-0.311490436338625,0.479102128871457
12,4,"SITTING",-0.636301750626951,0.52622870168125
12,5,"STANDING",-0.627684013763497,0.530219182625889
12,6,"LAYING",-0.63012919397725,0.528718342661708
13,1,"WALKING",-0.316988827925179,0.460854393995368
13,2,"WALKING_UPSTAIRS",-0.411582073864772,0.481399962634359
13,3,"WALKING_DOWNSTAIRS",-0.317234723087439,0.463191730560919
13,4,"SITTING",-0.638179130162868,0.543066636603673
13,5,"STANDING",-0.639297749080434,0.535187318003595
13,6,"LAYING",-0.624337936876007,0.553755547011914
14,1,"WALKING",-0.385501824502105,0.460095719296736
14,2,"WALKING_UPSTAIRS",-0.285486358859423,0.511997359659549
14,3,"WALKING_DOWNSTAIRS",-0.203378373864087,0.474784640200934
14,4,"SITTING",-0.639930771868791,0.5280379685885
14,5,"STANDING",-0.633771114374627,0.530378924305392
14,6,"LAYING",-0.628355645282404,0.529959358732366
15,1,"WALKING",-0.390526282476396,0.470930092491822
15,2,"WALKING_UPSTAIRS",-0.393720911542089,0.481360338460772
15,3,"WALKING_DOWNSTAIRS",-0.280227328116279,0.478913470640684
15,4,"SITTING",-0.641496217339585,0.537109906202275
15,5,"STANDING",-0.640037091389994,0.53194178615701
15,6,"LAYING",-0.639883147448173,0.531265854159869
16,1,"WALKING",-0.431362808379042,0.477181248917123
16,2,"WALKING_UPSTAIRS",-0.440146451770759,0.485215967490382
16,3,"WALKING_DOWNSTAIRS",-0.339080301791712,0.480317131361736
16,4,"SITTING",-0.642254023210701,0.540660946111618
16,5,"STANDING",-0.646538416475197,0.536027968915291
16,6,"LAYING",-0.635906117499551,0.540805566032016
17,1,"WALKING",-0.387039462708526,0.471340331643968
17,2,"WALKING_UPSTAIRS",-0.401431355861112,0.479425823691872
17,3,"WALKING_DOWNSTAIRS",-0.365194496888334,0.482880088421838
17,4,"SITTING",-0.643707360983648,0.54709797498025
17,5,"STANDING",-0.644675070329398,0.541386142783106
17,6,"LAYING",-0.629876420657766,0.544111902566298
18,1,"WALKING",-0.436306077297177,0.474007929974224
18,2,"WALKING_UPSTAIRS",-0.470681472754459,0.490071688258084
18,3,"WALKING_DOWNSTAIRS",-0.438663811185222,0.484648090481038
18,4,"SITTING",-0.650240242162375,0.534395879168263
18,5,"STANDING",-0.645518459042212,0.53099975134502
18,6,"LAYING",-0.645039855011435,0.539909038662556
19,1,"WALKING",-0.238252786596887,0.441222720223505
19,2,"WALKING_UPSTAIRS",-0.316821118319495,0.457959800536126
19,3,"WALKING_DOWNSTAIRS",-0.078306398113335,0.493267285356331
19,4,"SITTING",-0.638986666530727,0.53209411177613
19,5,"STANDING",-0.640136697217531,0.531159784474125
19,6,"LAYING",-0.632999218754884,0.546461684255782
20,1,"WALKING",-0.259518117088663,0.458475195837703
20,2,"WALKING_UPSTAIRS",-0.338291941451443,0.467024672485213
20,3,"WALKING_DOWNSTAIRS",-0.247169665420288,0.471620332044863
20,4,"SITTING",-0.639872725383092,0.527767117830281
20,5,"STANDING",-0.620027732157146,0.523601719784163
20,6,"LAYING",-0.644397438696908,0.532311298923294
21,1,"WALKING",-0.330648706245588,0.462261283553448
21,2,"WALKING_UPSTAIRS",-0.381967006088137,0.473554737531349
21,3,"WALKING_DOWNSTAIRS",-0.291301975673511,0.475622056333089
21,4,"SITTING",-0.644724493205524,0.534193252488579
21,5,"STANDING",-0.638450214241584,0.528022506329555
21,6,"LAYING",-0.63110876443376,0.543398484551232
22,1,"WALKING",-0.274200987116311,0.460010818917144
22,2,"WALKING_UPSTAIRS",-0.305185521541175,0.468928019106076
22,3,"WALKING_DOWNSTAIRS",-0.287664837258693,0.477672679039378
22,4,"SITTING",-0.634015600138589,0.532022049722643
22,5,"STANDING",-0.635992094486953,0.529999769322386
22,6,"LAYING",-0.632109081483277,0.534082415245892
23,1,"WALKING",-0.265296718829829,0.464098141308726
23,2,"WALKING_UPSTAIRS",-0.369581312588007,0.467164879388163
23,3,"WALKING_DOWNSTAIRS",-0.20246554081645,0.4574307312881
23,4,"SITTING",-0.632843540612456,0.543059200310429
23,5,"STANDING",-0.637024168810267,0.531088424136574
23,6,"LAYING",-0.628089473591726,0.551576627950253
24,1,"WALKING",-0.416975175176002,0.473945996502654
24,2,"WALKING_UPSTAIRS",-0.43583828688532,0.474251576812081
24,3,"WALKING_DOWNSTAIRS",-0.359085991984149,0.472990421003547
24,4,"SITTING",-0.646619496620551,0.526925830839725
24,5,"STANDING",-0.634194893841734,0.53344655282101
24,6,"LAYING",-0.634203387560794,0.541737906273239
25,1,"WALKING",-0.460842122215599,0.482757503377511
25,2,"WALKING_UPSTAIRS",-0.48551223324769,0.493089266961923
25,3,"WALKING_DOWNSTAIRS",-0.429924410531157,0.48048742191466
25,4,"SITTING",-0.645307467575153,0.534204894318477
25,5,"STANDING",-0.645297950751058,0.528500727750385
25,6,"LAYING",-0.589506698496036,0.545450415711338
26,1,"WALKING",-0.392008755561813,0.465080130468016
26,2,"WALKING_UPSTAIRS",-0.41167278243368,0.480136846789247
26,3,"WALKING_DOWNSTAIRS",-0.322473123490661,0.467151493916604
26,4,"SITTING",-0.642718508921569,0.538163762448172
26,5,"STANDING",-0.644004547265191,0.533694523050013
26,6,"LAYING",-0.640679888089531,0.545536215521252
27,1,"WALKING",-0.377771272094104,0.468490345338959
27,2,"WALKING_UPSTAIRS",-0.426267052017458,0.48671284301688
27,3,"WALKING_DOWNSTAIRS",-0.312446129792811,0.47435384225082
27,4,"SITTING",-0.647329814034974,0.533984958770938
27,5,"STANDING",-0.644356212162637,0.535052504532977
27,6,"LAYING",-0.645993647892745,0.539991225164833
28,1,"WALKING",-0.393787255237739,0.468082416558165
28,2,"WALKING_UPSTAIRS",-0.401092965937606,0.473584351968701
28,3,"WALKING_DOWNSTAIRS",-0.291650876955502,0.46256315184821
28,4,"SITTING",-0.637322526513564,0.523550153103677
28,5,"STANDING",-0.627883524309929,0.519990161399115
28,6,"LAYING",-0.640518710327799,0.530976406623764
29,1,"WALKING",-0.352894943404783,0.459750416503951
29,2,"WALKING_UPSTAIRS",-0.364429747315138,0.485009059372236
29,3,"WALKING_DOWNSTAIRS",-0.31726279115201,0.466798126904517
29,4,"SITTING",-0.644100724926612,0.54030786087254
29,5,"STANDING",-0.650245278868483,0.536209908171482
29,6,"LAYING",-0.646324698842316,0.547384622922697
30,1,"WALKING",-0.373607524126774,0.458741626903586
30,2,"WALKING_UPSTAIRS",-0.439370730188029,0.489520080840848
30,3,"WALKING_DOWNSTAIRS",-0.358790607945901,0.464525701807421
30,4,"SITTING",-0.646017901904583,0.532835681402282
30,5,"STANDING",-0.630635453342216,0.527699114956464
30,6,"LAYING",-0.642625296795821,0.529010124054845
